Date,Spot,Rate,Vol
2023-01-01,100.0,0.045,0.2
2023-01-02,100.62580101026373,0.045,0.2
2023-01-03,100.4505142401342,0.045,0.2
2023-01-04,101.27020134183533,0.045,0.2
2023-01-05,103.21341169526806,0.045,0.2
2023-01-06,102.90892643035691,0.045,0.2
2023-01-07,102.60536069994043,0.045,0.2
2023-01-08,104.646818638932,0.045,0.2
2023-01-09,105.65862453042585,0.045,0.2
2023-01-10,105.0336726479781,0.045,0.2
2023-01-11,105.7516422945275,0.045,0.2
2023-01-12,105.13420983620196,0.045,0.2
2023-01-13,104.51731978769226,0.045,0.2
2023-01-14,104.83593436556362,0.045,0.2
2023-01-15,102.30885732052866,0.045,0.2
2023-01-16,100.08548921486441,0.045,0.2
2023-01-17,99.37646789694803,0.045,0.2
2023-01-18,98.10837719250407,0.045,0.2
2023-01-19,98.49680240980827,0.045,0.2
2023-01-20,97.36999622844203,0.045,0.2
2023-01-21,95.63745740292535,0.045,0.2
2023-01-22,97.40344502137847,0.045,0.2
2023-01-23,97.12637955696638,0.045,0.2
2023-01-24,97.20901229234971,0.045,0.2
2023-01-25,95.46409692095251,0.045,0.2
2023-01-26,94.80934899914509,0.045,0.2
2023-01-27,94.94184442650834,0.045,0.2
2023-01-28,93.56507792661677,0.045,0.2
2023-01-29,94.00795419918228,0.045,0.2
2023-01-30,93.29656440458334,0.045,0.2
2023-01-31,92.95369992093373,0.045,0.2
2023-02-01,92.24903737209289,0.045,0.2
2023-02-02,94.40180810242938,0.045,0.2
2023-02-03,94.38575516484731,0.045,0.2
2023-02-04,93.12797954602641,0.045,0.2
2023-02-05,94.09307334792284,0.045,0.2
2023-02-06,92.64581045234294,0.045,0.2
2023-02-07,92.88960178365316,0.045,0.2
2023-02-08,90.59620183744194,0.045,0.2
2023-02-09,89.08020383137513,0.045,0.2
2023-02-10,89.30114219576814,0.045,0.2
2023-02-11,90.13198255468882,0.045,0.2
2023-02-12,90.32658087623233,0.045,0.2
2023-02-13,90.19497221131797,0.045,0.2
2023-02-14,89.85281307561456,0.045,0.2
2023-02-15,88.17906846385291,0.045,0.2
2023-02-16,87.37935621740593,0.045,0.2
2023-02-17,86.87224986054721,0.045,0.2
2023-02-18,88.02925689272963,0.045,0.2
2023-02-19,88.41035170133797,0.045,0.2
2023-02-20,86.44656168641423,0.045,0.2
